# fk-constraints.txt - pg_constraint dump from mcc-production
# Generated 2026-07-16 via mcp__supabase__execute_sql
# Format: conname	source_table	definition

custody_disputes_handoff_id_fkey	custody_disputes	FOREIGN KEY (handoff_id) REFERENCES custody_handoffs(id)
custody_disputes_implicated_party_id_fkey	custody_disputes	FOREIGN KEY (implicated_party_id) REFERENCES auth.users(id)
custody_disputes_job_id_fkey	custody_disputes	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
custody_disputes_raised_by_fkey	custody_disputes	FOREIGN KEY (raised_by) REFERENCES auth.users(id)
custody_handoffs_job_id_fkey	custody_handoffs	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
custody_handoffs_on_behalf_of_provider_id_fkey	custody_handoffs	FOREIGN KEY (on_behalf_of_provider_id) REFERENCES profiles(id)
custody_handoffs_receiving_party_id_fkey	custody_handoffs	FOREIGN KEY (receiving_party_id) REFERENCES auth.users(id)
custody_handoffs_releasing_party_id_fkey	custody_handoffs	FOREIGN KEY (releasing_party_id) REFERENCES auth.users(id)
custody_photos_captured_by_fkey	custody_photos	FOREIGN KEY (captured_by) REFERENCES auth.users(id)
custody_photos_handoff_id_fkey	custody_photos	FOREIGN KEY (handoff_id) REFERENCES custody_handoffs(id) ON DELETE CASCADE
custody_photos_job_id_fkey	custody_photos	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE CASCADE
dealership_credit_ledger_dealership_id_fkey	dealership_credit_ledger	FOREIGN KEY (dealership_id) REFERENCES dealerships(id) ON DELETE CASCADE
dealership_credit_ledger_user_id_fkey	dealership_credit_ledger	FOREIGN KEY (user_id) REFERENCES auth.users(id)
dealership_invites_dealership_id_fkey	dealership_invites	FOREIGN KEY (dealership_id) REFERENCES dealerships(id) ON DELETE CASCADE
dealership_invites_invited_by_fkey	dealership_invites	FOREIGN KEY (invited_by) REFERENCES auth.users(id)
dealership_members_dealership_id_fkey	dealership_members	FOREIGN KEY (dealership_id) REFERENCES dealerships(id) ON DELETE CASCADE
dealership_members_invited_by_fkey	dealership_members	FOREIGN KEY (invited_by) REFERENCES auth.users(id)
dealership_members_user_id_fkey	dealership_members	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
dealerships_approved_by_fkey	dealerships	FOREIGN KEY (approved_by) REFERENCES auth.users(id)
dealerships_primary_contact_id_fkey	dealerships	FOREIGN KEY (primary_contact_id) REFERENCES auth.users(id) ON DELETE SET NULL
destination_services_package_id_fkey	destination_services	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
destination_services_requested_by_fkey	destination_services	FOREIGN KEY (requested_by) REFERENCES profiles(id)
developer_api_keys_user_id_fkey	developer_api_keys	FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE
diagnostic_sessions_member_id_fkey	diagnostic_sessions	FOREIGN KEY (member_id) REFERENCES profiles(id)
diagnostic_sessions_vehicle_id_fkey	diagnostic_sessions	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id)
dispatch_queue_ride_id_fkey	dispatch_queue	FOREIGN KEY (ride_id) REFERENCES rides(id) ON DELETE CASCADE
dispute_evidence_dispute_id_fkey	dispute_evidence	FOREIGN KEY (dispute_id) REFERENCES disputes(id) ON DELETE CASCADE
dispute_evidence_submitted_by_fkey	dispute_evidence	FOREIGN KEY (submitted_by) REFERENCES profiles(id)
disputes_filed_by_fkey	disputes	FOREIGN KEY (filed_by) REFERENCES profiles(id) ON DELETE CASCADE
disputes_package_id_fkey	disputes	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
dream_car_matches_search_id_fkey	dream_car_matches	FOREIGN KEY (search_id) REFERENCES dream_car_searches(id) ON DELETE CASCADE
dream_car_matches_user_id_fkey	dream_car_matches	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
dream_car_searches_user_id_fkey	dream_car_searches	FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
driver_assignments_payout_id_fkey	driver_assignments	FOREIGN KEY (payout_id) REFERENCES driver_payouts(id)
driver_assignments_ride_id_fkey	driver_assignments	FOREIGN KEY (ride_id) REFERENCES rides(id)
driver_cashouts_driver_id_fkey	driver_cashouts	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE RESTRICT
driver_certifications_driver_id_fkey	driver_certifications	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE CASCADE
driver_documents_vehicle_id_fkey	driver_documents	FOREIGN KEY (vehicle_id) REFERENCES driver_vehicles(id)
driver_earnings_cashout_id_fkey	driver_earnings	FOREIGN KEY (cashout_id) REFERENCES driver_cashouts(id) ON DELETE SET NULL
driver_earnings_driver_id_fkey	driver_earnings	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE RESTRICT
driver_earnings_job_id_fkey	driver_earnings	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE SET NULL
driver_earnings_leg_id_fkey	driver_earnings	FOREIGN KEY (leg_id) REFERENCES concierge_job_legs(id) ON DELETE SET NULL
driver_location_history_ride_id_fkey	driver_location_history	FOREIGN KEY (ride_id) REFERENCES rides(id)
driver_location_pings_driver_id_fkey	driver_location_pings	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE CASCADE
driver_location_pings_job_id_fkey	driver_location_pings	FOREIGN KEY (job_id) REFERENCES concierge_jobs(id) ON DELETE SET NULL
driver_location_pings_leg_id_fkey	driver_location_pings	FOREIGN KEY (leg_id) REFERENCES concierge_job_legs(id) ON DELETE SET NULL
driver_locations_driver_id_fkey	driver_locations	FOREIGN KEY (driver_id) REFERENCES profiles(id)
driver_locations_package_id_fkey	driver_locations	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
driver_notifications_driver_id_fkey	driver_notifications	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE CASCADE
driver_support_issues_ride_id_fkey	driver_support_issues	FOREIGN KEY (ride_id) REFERENCES rides(id)
driver_tips_driver_id_fkey	driver_tips	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE CASCADE
driver_tips_ride_id_fkey	driver_tips	FOREIGN KEY (ride_id) REFERENCES rides(id) ON DELETE CASCADE
driver_training_progress_driver_id_fkey	driver_training_progress	FOREIGN KEY (driver_id) REFERENCES drivers(id) ON DELETE CASCADE
driver_training_progress_lesson_id_fkey	driver_training_progress	FOREIGN KEY (lesson_id) REFERENCES training_lessons(id) ON DELETE CASCADE
driver_training_progress_module_id_fkey	driver_training_progress	FOREIGN KEY (module_id) REFERENCES training_modules(id) ON DELETE CASCADE
driver_vehicles_approved_by_fkey	driver_vehicles	FOREIGN KEY (approved_by) REFERENCES profiles(id) ON DELETE SET NULL
drivers_profile_id_fkey	drivers	FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE SET NULL
emergency_dispatch_requests_member_id_fkey	emergency_dispatch_requests	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
emergency_requests_assigned_provider_id_fkey	emergency_requests	FOREIGN KEY (assigned_provider_id) REFERENCES profiles(id)
emergency_requests_member_id_fkey	emergency_requests	FOREIGN KEY (member_id) REFERENCES profiles(id) ON DELETE CASCADE
emergency_requests_vehicle_id_fkey	emergency_requests	FOREIGN KEY (vehicle_id) REFERENCES vehicles(id)
employee_background_checks_employee_id_fkey	employee_background_checks	FOREIGN KEY (employee_id) REFERENCES provider_employees(id) ON DELETE CASCADE
employee_background_checks_provider_id_fkey	employee_background_checks	FOREIGN KEY (provider_id) REFERENCES profiles(id) ON DELETE CASCADE
escrow_payments_member_id_fkey	escrow_payments	FOREIGN KEY (member_id) REFERENCES profiles(id)
escrow_payments_package_id_fkey	escrow_payments	FOREIGN KEY (package_id) REFERENCES maintenance_packages(id) ON DELETE CASCADE
escrow_payments_provider_id_fkey	escrow_payments	FOREIGN KEY (provider_id) REFERENCES profiles(id)
evaluation_bids_dealership_id_fkey	evaluation_bids	FOREIGN KEY (dealership_id) REFERENCES dealerships(id)
evaluation_bids_evaluation_id_fkey	evaluation_bids	FOREIGN KEY (evaluation_id) REFERENCES vehicle_evaluations(id) ON DELETE CASCADE
evaluation_bids_salesperson_id_fkey	evaluation_bids	FOREIGN KEY (salesperson_id) REFERENCES auth.users(id) ON DELETE CASCADE
evaluation_media_evaluation_id_fkey	evaluation_media	FOREIGN KEY (evaluation_id) REFERENCES vehicle_evaluations(id) ON DELETE CASCADE
